date,forecast,lower_95,upper_95
2025-08-26,1412.576771380919,1315.5615363883878,1509.59200637345
2025-08-27,1412.5841805738962,1275.1714174214478,1549.9969437263446
2025-08-28,1412.5840790534617,1244.080284008235,1581.0878740986884
2025-08-29,1412.5841062830218,1217.8922716809868,1607.2759408850568
2025-09-01,1412.5841058510644,1194.8309403574676,1630.337271344661
2025-09-02,1412.58410595127,1173.988272370614,1651.179939531926
2025-09-03,1412.5841059494678,1154.8254920008376,1670.342719898098
2025-09-04,1412.584105949837,1136.9919538001268,1688.1762580995473
2025-09-05,1412.5841059498296,1120.2442941036152,1704.923917796044
2025-09-08,1412.584105949831,1104.4054291176344,1720.7627827820274
2025-09-09,1412.584105949831,1089.3417384949844,1735.8264734046775
2025-09-10,1412.584105949831,1074.9494522461796,1750.2187596534823
2025-09-11,1412.584105949831,1061.1460735097503,1764.0221383899116
2025-09-12,1412.584105949831,1047.8647317604061,1777.3034801392557
2025-09-15,1412.584105949831,1035.0503284240363,1790.1178834756256
2025-09-16,1412.584105949831,1022.6568249900772,1802.5113869095846
2025-09-17,1412.584105949831,1010.6452851071097,1814.5229267925522
2025-09-18,1412.584105949831,998.9824292556863,1826.1857826439755
2025-09-19,1412.584105949831,987.6395469448023,1837.5286649548596
2025-09-22,1412.584105949831,976.5916639376455,1848.5765479620163
2025-09-23,1412.584105949831,965.8168950272752,1859.3513168723866
2025-09-24,1412.584105949831,955.2959342032943,1869.8722776963675
2025-09-25,1412.584105949831,945.0116481606018,1880.15656373906
2025-09-26,1412.584105949831,934.9487486459238,1890.219463253738
2025-09-29,1412.584105949831,925.0935257222725,1900.0746861773894
2025-09-30,1412.584105949831,915.4336286551068,1909.734583244555
2025-10-01,1412.584105949831,905.9578844234056,1919.2103274762562
2025-10-02,1412.584105949831,896.6561462481753,1928.5120656514864
2025-10-03,1412.584105949831,887.5191662845705,1937.6490456150914
2025-10-06,1412.584105949831,878.5384879269375,1946.6297239727244
